relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
5934;1786821172836;150D;Zweite Fahrstatistik;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-DA-00-78-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
6001;1786821172903;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
6663;1786821173565;1503;Motor-/Controllerinformationen;2;1;0,1;00-00;;
6981;1786821173883;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
7317;1786821174219;1504;Firmware-ID;19;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;4e07d6e11ce50a4fe1ae8e5a809265a5f7ec456e886854ff5619eaccd09e46ac;identity_or_free_form
7398;1786821174300;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
7612;1786821174514;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
7982;1786821174884;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
8024;1786821174926;1508;Settings / Licht & Fahrstufe;17;2;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
8228;1786821175130;1509;BatteryChange / Akku-Livestand;11;2;–;00-00-FF-FF-4B-C5-A8-00-00-00-00;;
8444;1786821175346;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
8632;1786821175534;1506;Trip / Kilometer & Betriebszähler;16;3;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
