relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
31975;1786831798704;150A;MotorUpdate / Motor-Livestand;10;10;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
32178;1786831798907;150B;Motor-/Controllerblock;20;10;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
32392;1786831799121;150D;Fahrstatistik Max/Ø;20;10;1;00-1B-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
33434;1786831800163;1502;Akkuinformationen;16;11;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
33863;1786831800592;1505;BikePerformance / Fahrleistung;18;11;7;00-00-00-00-FF-FF-00-20-FF-FF-FF-FF-FF-00-00-00-00-00
34054;1786831800783;1506;Trip / Kilometer & Betriebszähler;16;11;7;00-00-1B-A9-00-02-25-78-00-00-02-C4-00-00-00-00
34472;1786831801201;1508;Settings / Licht & Fahrstufe;17;11;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
34682;1786831801411;1509;BatteryChange / Akku-Livestand;11;11;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
34981;1786831801710;150A;MotorUpdate / Motor-Livestand;10;11;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
35097;1786831801826;150B;Motor-/Controllerblock;20;11;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
35302;1786831802031;150D;Fahrstatistik Max/Ø;20;11;1;00-22-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
36349;1786831803078;1502;Akkuinformationen;16;12;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
36763;1786831803492;1505;BikePerformance / Fahrleistung;18;12;7;00-00-00-00-FF-FF-00-24-FF-FF-FF-FF-FF-00-00-00-00-00
37021;1786831803750;1506;Trip / Kilometer & Betriebszähler;16;12;7;00-00-1B-A9-00-02-25-7B-00-00-02-C4-00-00-00-00
