relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
32530;1787229947638;1508;Settings / Licht & Fahrstufe;17;9;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
32740;1787229947848;1509;BatteryChange / Akku-Livestand;11;9;–;00-00-FF-FF-3B-BF-68-00-00-00-00;NOTIFICATION;1
32950;1787229948058;150A;MotorUpdate / Motor-Livestand;10;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
33158;1787229948266;150B;Motor-/Controllerblock;20;9;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
33358;1787229948466;150D;Fahrstatistik Max/Ø;20;9;1;00-3C-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
34409;1787229949517;1502;Akkuinformationen;16;10;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
34822;1787229949930;1505;BikePerformance / Fahrleistung;18;10;0,1,2,3,7;05-BE-05-BE-FF-FF-00-50-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
35032;1787229950140;1506;Trip / Kilometer & Betriebszähler;16;10;7;00-00-1B-DA-00-02-2B-E3-00-00-02-C9-00-00-00-00;NOTIFICATION;1
35453;1787229950561;1508;Settings / Licht & Fahrstufe;17;10;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
35661;1787229950769;1509;BatteryChange / Akku-Livestand;11;10;–;00-00-FF-FF-3B-BF-68-00-00-00-00;NOTIFICATION;1
35872;1787229950980;150A;MotorUpdate / Motor-Livestand;10;10;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
36071;1787229951179;150B;Motor-/Controllerblock;20;10;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
36282;1787229951390;150D;Fahrstatistik Max/Ø;20;10;1;00-64-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
37333;1787229952441;1502;Akkuinformationen;16;11;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
37745;1787229952853;1505;BikePerformance / Fahrleistung;18;11;0,1,2,3,7;0E-E2-0E-E2-FF-FF-00-9D-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
37952;1787229953060;1506;Trip / Kilometer & Betriebszähler;16;11;7;00-00-1B-DA-00-02-2B-E5-00-00-02-C9-00-00-00-00;NOTIFICATION;1
38373;1787229953481;1508;Settings / Licht & Fahrstufe;17;11;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
38580;1787229953688;1509;BatteryChange / Akku-Livestand;11;11;0,1,5,6,9,10;1B-58-FF-FF-3B-B6-D0-00-00-01-47;NOTIFICATION;1
38784;1787229953892;150A;MotorUpdate / Motor-Livestand;10;11;0,1;2E-E0-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
38992;1787229954100;150B;Motor-/Controllerblock;20;11;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
39212;1787229954320;150D;Fahrstatistik Max/Ø;20;11;1;00-B4-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
40242;1787229955350;1502;Akkuinformationen;16;12;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
